题型,题目,选项,答案,解析
单选题,[2020年][河南中安]某大型机械制造企业新安装的一台货梯于2015年8月1日取得检验合格证，该企业的设备科负责货梯管理工作。关于该货梯维护保养和定期检验的说法，正确的是（ ）。,A.货梯在2016年8月1日前应进行定期检验|B.货梯的维护保养必须由货梯制造单位负责|C.货梯应由维保单位每15日进行一次检查|D.货梯使用标志应明确标注检验时间,C,本题主要考查的是电梯维护保养的有关规定，属于高频考点。做题思路：考题中多考查电梯的检验周期，维保单位、使用单位、制造单位及相关职责等内容，要注意区分。A错误，该选项出自《电梯使用管理与维护保养规则》（TSGT5001-2009），其中第十二条规定“在用电梯每年进行一次定期检验。使用单位应当按照安全技术规范的要求，在《安全检验合格》标志规定的检验有效期届满前1个月，向特种设备检验检测机构提出定期检验申请。未经定期检验或者检验不合格的电梯，不得继续使用”，该单位在2015年8月1日取得检验合格证但并不代表标志规定的检验有效期是哪天，因此我们不能判断其下次定期检验的周期是哪天。另外，该规则已经在2017年被修订，移除了该条款，在市场监管总局新出台的文件对电梯的定期检验周期也做了修改；B错误，电梯维保单位应当在依法取得相应的许可后，方可从事电梯的维保工作，而并不是由货梯的制造单位负责；C正确，《特种设备安全监察条例》第三十一条规定“电梯的日常维护保养必须由依照本条例取得许可的安装、改造、维修单位或者电梯制造单位进行。电梯应当至少每15日进行一次清洁、润滑、调整和检查”；D错误，货梯使用标志应明确标注下一次检验时间，而不是检验时间（参见电梯使用标志）。故选C。
单选题,[2020年][河南中安]某施工项目部采购了一批劳动防护用品，下发给作业人员使用，下列关于该项目部劳动防护用品管理的做法，错误的是（ ）。,A.检查劳动防护用品的生产日期|B.检查劳动防护用品的合格证|C.检查劳动防护用品的检验标志|D.将采购物品清单作为发放台账,D,本题主要考查的是劳动防护用品的管理。做题思路：掌握劳动防护用品的管理，熟悉劳动防护用品的选用、采购、发放等内容。A正确，用人单位应当确保已采购劳动防护用品的存储条件，并保证其在有效期内。因此应当检查劳动防护用品的生产日期；B正确，用人单位应当根据劳动防护用品配备标准制定采购计划，购买符合标准的合格产品。因此应当检查劳动防护用品的合格证；C正确，用人单位应当查验并保存劳动防护用品检验报告等质量证明文件的原件或复印件。因此应当检查劳动防护用品的检验标志；D错误，用人单位应当按照本单位制定的配备标准发放劳动防护用品，并做好登记，因此不可以以采购清单作为发放台账。故选D。
单选题,[2020年][河南中安]某电力集团建筑项目由于洪水影响停工半个月，复工后集团安全部为保证复工后施工安全，委托第三方进行专项隐患排查，关于隐患安全管理的说法，错误的是（ ）。,A.正在使用的脚手架下面，应禁止挖洞|B.脚手架外侧密目式安全网应使用阻燃材料|C.停用2个月的脚手架应重新确认其安全性|D.临边作业的防护栏杆高度为1m,D,本题主要考查的标准为《建筑施工脚手架安全技术统一标准》（GB 51210-2016）及《建筑施工高处作业安全技术规范》（JGJ80-2016），属于偶然性考点，再次考查的概率不大。A正确，根据《建筑施工脚手架安全技术统一标准》（GB 51210-2016），11.2.8在脚手架使用期间，立杆基础下及附近不宜进行挖掘作业。当因施工需要需进行挖掘作业时，应对架体采取加固措施；B正确，11.2.4作业脚手架外侧和支撑脚手架作业层栏杆应采用密目式安全网或其他措施全封闭防护。密目式安全网应为阻燃产品；C正确，11.1.6当脚手架遇有下列情况之一时，应进行检查，确认安全后方可继续使用：3.停用超过1个月。因此停用2个月的脚手架应重新确认其安全性；D错误，根据《建筑施工高处作业安全技术规范》（JGJ80-2016），4.3.1临边作业的防护栏杆应由横杆、立杆及挡脚板组成，防护栏杆应符合下列规定：防护栏杆应为两道横杆，上杆距地面高度应为1.2m，下杆应在上杆和挡脚板中间设置。故选D。
单选题,[2020年][河南中安]某大型国有集团公司下辖有化工、能源、建筑施工以及冶金企业。为保证安全生产所必需的资金投入，集团要求高危生产企业按照《企业安全生产费用提取使用管理办法》，提取、使用和管理安全生产费用，其他企业按照行业特点自行制定安全生产费用管理办法。关于企业安全生产费用管理的做法，正确的是（ ）。,A.危险化学品生产企业将当年结余的安全生产费用清零，下一年度重新提取|B.建筑施工企业与分包单位的安全生产费用由建筑施工企业统一管理使用|C.冶金企业将年度安全生产费用计划及上一年度提取使用情况留存备查|D.能源企业自行制定管理制度，提取下属企业安全生产费用的2%集中管理，统筹使用,D,本题主要考查的是安全生产费用的使用管理，属于高频考点。做题思路：明确企业安全生产费用的提取规则，牢记费用的使用范围应专款专用，按照题目所给信息，判断其在提取、使用、管理等环节是否符合规定。A错误，年度结余资金结转下年度使用，当年计提安全费用不足的，超出部分按正常成本费用渠道列支。而不是清零后重新提取；B错误，企业提取的安全生产费用属于企业自提自用资金，除集团总部按规定统筹使用外，任何单位和个人不得采取收取、代管等形式对其进行集中管理和使用。C错误，企业年度安全费用使用计划和上一年安全费用的提取、使用情况按照管理权限报同级财政部门、安全生产监督管理部门、煤矿安全监察机构和行业主管部门备案，而不是留存备查；D正确，主要承担安全管理责任的集团公司经过履行内部决策程序，可以对所属企业提取的安全生产费用按照一定比例集中管理，统筹使用。能源企业制定制度提取下属企业的安全生产费用是符合要求的。故选D。
单选题,[2020年][河南中安]某交通运输股份有限公司的组织机构包括董事会、监事会、工会、总工办、调度室、安全处、财务处等。公司设总经理、安全总监等管理岗位。根据有关规定，该公司安全生产投入资金予以决策的是（ ）。,A.董事会|B.董事长|C.总经理|D.安全总监,A,本题主要考查安全生产投入资金的保证，属于高频考点。做题思路：掌握安全生产投入具体由谁来保证。一般说来，股份制企业、合资企业等安全生产投入资金由董事会予以保证；一般国有企业由厂长或者经理予以保证；个体工商户等个体经济组织由投资人予以保证。该公司为股份制企业因此安全投入资金应当由董事会予以保证。故选A。
单选题,[2020年][河南中安]某安全评价机构承接了一煤矿井下评价项目。为提高评价报告质量，安排本项目组以外评价人员再次对评价项目进行实地考查进一步辨识现场存在的危险有害因素，同时补充相应的对策措施。下列通风、防尘评价单元补充的对策措施中，错误的是（ ）。,A.主要通风机应在10min内实施反风|B.半煤岩巷掘进应采取湿式凿岩措施|C.井下空气中的氧气含量不能低于19.5%|D.井下矿工每人供风量至少保障4m3/min,C,本题主要考查的知识点来源为《煤矿安全规程》。做题思路：相关数值有印象就好，再次考查的概率不大。A正确，《煤矿安全规程》第一百五十九条：生产矿井主要通风机必须装有反风设施，并能在10min内改变巷道中的风流方向；B正确，《煤矿安全规程》第六百五十一条：井工煤矿在煤、岩层中钻孔作业时，应当采取湿式降尘等措施；C错误，《煤矿安全规程》第一百三十五条：采掘工作面的进风流中，氧气浓度不低于20%，二氧化碳浓度不超过0.5%；D正确，《煤矿安全规程》第一百三十八条：矿井需要的风量应当按下列要求分别计算，并选取其中的最大值：（一）按井下同时工作的最多人数计算，每人每分钟供给风量不得少于4m3。故选C。
单选题,[2020年][河南中安]某化工厂的油料输送系统主要设备为泵,A.阀门B和阀门C。为了提高该系统的可靠性，委托某安全评价单位对泵物料输送系统进行事件树分析。安全评价单位对泵|A.阀门B和阀门C发生的故障事件进行统计分析，得出泵|A.阀门B和阀门C的故障概率分别为0.1、0.05、0.05。根据事件树定量分析方法，该系统发生故障的概率是（ ）。|A.0.1500|B.0.1878|C.0.1600|D.0.8122,B,本题主要考查的是事件树的计算。做题思路：近几年的考题中经常出现各类评价方法的计算和使用问题，如事故树、LEC、HAZOP等，需要我们在学习的时候加以注意。在计算本题时我们可以采用简单的计算方法，由于泵A、阀门B和阀门C为串联，因此如果该系统正常运行就需要三个部分同时正常运行其概率为（1－0.1）×（1－0.05）×（1－0.05）＝0.81225。即该系统的可靠度为0.81225，则该系统出现故障的概率为1－0.81225＝0.18775，保留四位小数即0.1878。故选B。
单选题,[2020年][河南中安]某公司财务部按照要求编制了安全生产费用的提取和使用管理办法，经公司分管的副总经理书面批准，以公司红头文件的形式发布。但文件执行过程中，公司计划部和安全生产部提出反对意见，认为该管理办法与公司现行预算管理制度相矛盾。该管理办法在编制过程中，可能缺失的环节是（ ）。,A.起草环节|B.审核环节|C.培训环节|D.会签环节,D,本题主要考查的是安全生产规章制度的编制流程，属于高频考点。做题思路：考查方式多以考查某流程的下一流程是什么，或者某流程应该干些什么为主，在学习中需要掌握相关流程及流程中的主要工作内容。该题题干中指出“文件执行过程中，公司计划部和安全生产部提出反对意见，认为该管理办法与公司现行预算管理制度相矛盾”，也就是说该制度在制定过程中没有向两个部门征求意见，因此其缺失的环节应当是会签环节。故选D。
单选题,[2020年][河南中安]某企业是一家食品机械设备加工企业，有焊接、机加工、装配、调试车间以及锅炉房、配电房等辅助设施。该企业必须进行强制性检查的项目是（ ）。,A.焊接车间的噪声|B.机加工车间的温度|C.装配车间的固定式5t电动葫芦|D.锅炉房的常压热水锅炉,C,本题主要考查的是安全生产检查的内容，属于高频考点。做题思路：掌握安全检查的强制检查项目和检查内容的分类为主。对非矿山企业，目前国家有关规定要求强制性检查的项目有锅炉、压力容器、压力管道、高压医用氧舱、起重机、电梯、自动扶梯、施工升降机、简易升降机、防爆电器、厂内机动车辆、客运索道、游艺机及游乐设施等，作业场所的粉尘、噪声、振动、辐射、温度和有毒物质的浓度等。安全生产检查具体内容应本着突出重点的原则进行确定。对于危险性大、易发事故、事故危害大的生产系统、部位、装置、设备等应加强检查。ABD错误，题干中是一家食品机械设备加工企业，AB选项的噪声和温度不是检查的重点；D选项非特种设备；C正确，固定式5t电动葫芦属于起重机。故选C。
单选题,[2020年][河南中安]M非煤矿山企业是N中央企业在L省的分公司。M企业中，甲是主要负责人，乙是安全管理人员，丙是电工，丁是选矿车间班长。根据《生产经营单位安全培训规定》，关于安全生产教育培训的说法，错误的是（ ）。,A.甲的安全生产教育培训由N企业组织实施，培训内容包括法律法规、安全生产专业知识等|B.乙的安全生产教育培训由M企业组织实施，培训内容包括法律法规、应急预案编制等|C.丁的安全生产教育培训由M企业组织实施|D.丙的专业知识培训由L省负责安全生产监督管理的部门组织实施，考核合格,D,本题主要考查的是企业安全生产教育培训，属于高频考点。做题思路：安全生产教育的培训组织、培训学时、培训内容等都需要熟练掌握。根据《生产经营单位安全培训规定》，生产经营单位应当进行安全培训的从业人员包括主要负责人、安全生产管理人员、特种作业人员和其他从业人员。生产经营单位从业人员的安全培训工作，由生产经营单位组织实施。A正确，M企业是N企业的分公司，因此其主要负责人的安全生产教育培训可由N企业组织实施，主要负责人的培训内容包括法律法规、安全生产专业知识等内容；B正确，乙作为安全生产管理人员，其安全教育可以由N企业组织实施，也可以由M企业组织实施，其培训内容包括法律法规、应急预案编制等内容；C正确，选矿车间班长的生产教育培训由M企业组织实施；D错误，丙是电工属于特种作业人员，但其生产教育培训仍由M企业组织实施。另外根据《特种作业人员安全技术培训考核管理规定》第十条对特种作业人员的安全技术培训，具备安全培训条件的生产经营单位应当以自主培训为主，也可以委托具备安全培训条件的机构进行培训。不具备安全培训条件的生产经营单位，应当委托具备安全培训条件的机构进行培训。生产经营单位委托其他机构进行特种作业人员安全技术培训的，保证安全技术培训的责任仍由本单位负责。故选D。
单选题,[2020年][河南中安]某大厦玻璃幕墙清洗过程中发生一起吊篮坠落事故，造成两名工作人员死亡。事故调查组发现吊篮坠落的原因是钢丝绳断裂。为查清钢丝绳断裂的原因，调查组将钢丝绳送省起重研究所进行鉴定。该起事故的调查技术方法是（ ）。,A.综合原因分析法|B.系统安全分析法|C.对照案例分析法|D.个别案例技术分析法,D,本题主要考查的是事故调查的技术方法。做题思路：事故调查是考试的高频考点，但本知识点在考试中考查的并不多，这部分经常考查的知识点包括事故调查组的组成、职责，事故调查报告的内容等。本题中，为查清钢丝绳断裂的原因调查组将钢丝绳送省起重研究所进行鉴定，属于针对具体案例的专门的技术分析。故选D。
单选题,[2020年][河南中安]某企业电焊机安全操作规程的部分内容为：电焊机应放在通风、干燥处，放置平稳检查焊接面罩应无漏光、无破损；导线有受潮、断股现象时应立即更换；施焊中，如发现自动停电装置失效，应及时停机，断电后检修处理；必须在潮湿处施焊时，焊工应站在绝缘木板上，不准用手触摸焊机导线，不准用臂夹持带电焊钳，以免触电。以上描述中，未涉及的安全操作规程重要内容是（ ）。,A.劳动防护用品的穿戴要求|B.操作前的准备|C.操作的先后顺序、方式|D.操作人员所处的位置,A,本题主要考查安全操作规程的内容，属于高频考点。做题思路：掌握安全操作规程的内容，注重知识点的灵活运用。操作规程的内容中包括劳动防护用品的穿戴要求、操作前的准备、操作的先后顺序、方式、操作人员所处的位置等十项内容。B正确，在本题中，“电焊机应放在通风、干燥处，放置平稳检查焊接面罩应无漏光、无破损”属于操作前的准备；C正确，“如发现自动停电装置失效，应及时停机，断电后检修处理”属于操作的先后顺序、方式；D正确，“必须在潮湿处施焊时，焊工应站在绝缘木板上”属于操作人员所处的位置。在本题给出的操作规程中并没有提及劳动防护用品的穿戴要求。故选A。
单选题,[2020年][河南中安]某市一建筑工程公司承包了开发区第一标段热力管网工程项目。2019年11月10日10时，在热力管网试运行过程中班长甲当面催促工作班成员乙进入阀门井调整阀门，随后甲发现乙晕倒在井下，急忙下井施救，也晕倒在井下。工作班成员丙急忙呼叫119、120前来急救。由于甲、乙缺氧时间过长，抢救无效死亡。关于此次现场管理的说法，错误的是（ ）。,A.甲应遵守“先通风、再检测、后作业”的原则进行作业安排|B.应当每两年至少组织一次有限空间作业专题安全培训|C.作业前阀井内气体检测指标应包括氧浓度、有毒有害气体浓度|D.该建筑公司应对甲、乙、丙进行专项安全培训,B,本题主要考查的是有限空间作业管理，属于高频考点。A正确，有限空间作业应当严格遵守“先通风、再检测、后作业”的原则；B错误，应当每年至少组织一次有限空间作业专题安全培训；C正确，检测指标包括氧浓度、易燃易爆物质（可燃性气体、爆炸性粉尘）浓度、有毒有害气体浓度；D正确，生产经营单位负责本单位从业人员安全培训工作，故该建筑公司应对甲、乙、丙进行专项安全培训。故选B。
单选题,[2020年][河南中安]某机械加工企业聘请技术服务机构进行职业病危害现状评价。该企业锻造车间内有150㎏、400㎏空气锤，1t、2t、3t蒸汽锤，加热炉、退火炉等生产设备，该技术服务机构现场测定出噪声最大声强达到95dB。关于职业病危害现状评价报告中涉及噪声危害的内容，错误的是（ ）。,A.锻造车间噪声危害为极重危害|B.白天厂界噪声应控制在65dB以内|C.个体防护应采取耳罩降噪措施|D.锻造车间应采用吸声降噪技术,A,本题主要考查的是职业病危害评价。做题思路：掌握噪声分级内容，结合经验分析选项，再利用排除法进行选择。A错误，依据《工作场所职业病危害作业分级 第4部分：噪声》（GBZ/T 229.4）第4.3.1表1：该危害应当属于重度危害；B正确，依据《声环境质量标准》（GB 3096-2008）第4部分，3类声环境功能区：指以工业生产、仓储物流为主要功能，需要防止工业噪声对周围环境产生严重影响的区域。判断该厂区为3类声环境功能区。依据《工业企业厂界环境噪声排放标准》（GB 12348-2008）第4.1.1判断该厂区昼间厂界噪声应控制在65dB以内；C正确，对于锻造车间由于其噪声危害严重，故其个体防护应当采取耳罩降噪措施；D正确，重度危害的作业条件下，会对劳动者的健康产生不良影响。应尽可能采取工程技术措施，进行相应的整改，因此应当采取吸声降噪措施[《工作场所职业病危害作业分级 第4部分：噪声》（GBZ/T 229.4）]。故选A。
单选题,[2020年][河南中安]2019年某面粉厂发生爆炸事故，造成3人死亡，机器、厂房损毁。事故善后发生费用40万元，支付丧葬费30万元，抚恤金360万元，机器、厂房原值280万元。保险公司赔付人身意外伤害保险360万元，赔付机器、厂房原值280万元。事故调查结束后，地方政府有关部门对企业总经理处罚2万元对企业处罚50万元。该事故直接经济损失是（ ）。,A.70万元|B.760万元|C.140万元|D.708万元,B,本题主要考查的是生产安全事故经济损失的计算，属于高频考点。做题思路：先区分直接经济损失和间接经济损失，后根据要求计算。该起事故中造成的直接经济损失包括：事故善后发生费用、支付丧葬费、抚恤金、企业事故罚款及机器、厂房等固定资产的损失（根据保险公司的赔付判断固定资产损失为280万元）。综上，该起事故造成的直接经济损失为：40＋30＋360＋50＋280＝760万元。故选B。
单选题,[2020年][河南中安]甲市乙区一地铁施工项目采用矿山法进行车站施工时发生火药爆炸，造成1人死亡。事故调查结束后，事故调查组提交了事故调查报告，提出了相应的防范和整改措施。负责对该事故落实防范和整改措施进行监督检查的部门是（ ）。,A.甲市负责安全生产监督管理的部门|B.甲市住建部门|C.乙区负责安全生产监督管理的部门|D.乙区住建部门,C,本题主要考查的是事故防范和整改措施的落实。做题思路：遵循属地管理原则明确划分责任，使管理更具便利性和效率性。安全生产监督管理部门和负有安全生产监督管理职责的有关部门，应当对事故发生单位负责落实防范和整改措施的情况进行监督检查。在本题中事故造成1人死亡，据此判断事故为一般事故，因此，应由乙区负责安全生产监督管理的部门监督检查。故选C。
单选题,[2020年][河南中安]某金矿新建二期工程于2019年5月竣工，为有效提升应急处置能力，该矿计划开展如下应急管理工作：①每年组织一次专项应急预案演练，每半年组织一次现场处置方案演练；②企业应急预案每三年进行一次预案评估；③洗选车间人员中毒专项应急预案修订完成后应在公布30日之内向有关部门备案；④明确尾矿库漫坝时现场人员有权采取撤离危险区域的措施。上述计划开展的应急管理工作中不符合要求的是（ ）。,A.①|B.②|C.③|D.④,C,本题主要考查的是应急预案的管理，属于高频考点。做题思路：掌握应急预案的管理，记忆各个时间节点的要求。应急预案的备案、演练，演练内容等相关知识点均为常考点。序号①，生产经营单位应当制定本单位的应急预案演练计划，根据本单位的事故风险特点，每年至少组织一次综合应急预案演练或者专项应急预案演练，每半年至少组织一次现场处置方案演练。故①符合。序号②，矿山、金属冶炼、建筑施工企业和易燃易爆物品、危险化学品等危险物品的生产、经营、储存、运输企业、使用危险化学品达到国家规定数量的化工企业、烟花爆竹生产、批发经营企业和中型规模以上的其他生产经营单位，应当每三年进行一次应急预案评估。故②符合。序号③，易燃易爆物品、危险化学品等危险物品的生产、经营、储存、运输单位，矿山、金属冶炼、城市轨道交通运营、建筑施工单位，以及宾馆、商场、娱乐场所、旅游景区等人员密集场所经营单位，应当在应急预案公布之日起20个工作日内，按照分级属地原则，向县级以上人民政府应急管理部门和其他负有安全生产监督管理职责的部门进行备案，并依法向社会公布。故③不符合。序号④，从业人员发现直接危及人身安全的紧急情况时，有权停止作业或者在采取可能的应急措施后撤离作业场所。因此明确尾矿库漫坝时现场人员有权采取撤离危险区域的措施符合要求，故④符合。故选C。
