题型,题目,选项,答案,解析
单选题,[2019年][河南中安]施工单位在土方开挖前，编制了基坑工程土方开挖方案，制定了土方开挖的安全技术措施。关于土方开挖安全技术措施的说法，错误的是（ ）。,A.开挖基坑土体含水量大而不稳定时，应采用临时性支撑加固|B.相邻基坑开挖时，应遵循先浅后深或同时进行的施工顺序|C.基坑放坡开挖时，应对坡顶、坡面、坡脚采取降水措施|D.开挖至坑底时，应避免扰动基底持力土层的原状结构,B,本题主要考查的是土方开挖安全技术措施。属于高频考点。A正确，（1）当开挖基坑土体含水量大而不稳定或基坑较深，或受到周围场地限制而需要用较陡的边坡或直立开挖而土质较差时，应采用临时性支撑加固；D正确，（2）挖至坑底时，应避免扰动基底持力土层的原状结构；B错误，错在“先浅后深，应是先深后浅”。（3）相邻基坑开挖时，应遵循先深后浅或同时进行的施工顺序；C正确，（4）基坑边界周围地面应设排水沟，对坡顶、坡面、坡脚采取排水措施，防止地面水流入或渗入坑内，以免发生边坡塌方。故选B。
单选题,[2019年][河南中安]某地下管廊工程在结构施工期间，施工单位专职安全生产管理人员对基坑安全进行专项检查。关于基坑安全防护的做法，错误的是（ ）。,A.基坑开挖深度5m，沿基坑周边安装防护栏杆|B.膨胀岩土基坑坡面和坡顶3m内采用防水措施|C.基坑内搭设宽度为0.50m的双向梯道，满足作业人员通行|D.降水井口设置防护盖板和警示标志,C,本题主要考查的是基坑安全防护。属于高频考点。A正确，（1）开挖深度超过2m的基坑周边必须安装防护栏杆，防护栏高度不应低于1.2m，安装牢固，材料应有足够的强度；C错误，错在“0.5m的宽度，不满足上下行人的要求，至少1m”。（2）基坑内宜设置供施工人员上下的专用梯道。梯道应设扶手栏杆，宽度不应小于1m；D正确，（3）采用井点降水时，井口应设置防护盖板或围栏，警示标志应明显；B正确，根据《建筑深基坑工程施工安全技术规范》（JGJ311），11.2基坑工程应按设计要求进行地面硬化，并在周边设置防水围挡和防护栏杆。对膨胀性土及冻土的坡面和坡顶3m以内采取防水及防冻措施。故选C。
单选题,[2019年][河南中安]根据《建筑施工扣件式钢管脚手架安全技术规范》（JGJ130），工程项目部专职安全生产管理人员对落地式扣件钢管脚手架的扣件安装进行了专项检查。下列检查记录中，符合安全要求的是（ ）。,A.杆件端头伸出扣件盖板边缘的长度为50㎜|B.对接扣件开口方向朝外|C.扣件螺栓拧紧扭力矩为45N·m|D.横向水平杆的直角扣件中心点距主节点的距离为300㎜,C,本题主要考查的是扣件式钢管脚手架的搭设要求。属于高频考点。根据《建筑施工扣件式钢管脚手架安全技术规范》（JGJ130），7.3.11扣件安装应符合下列规定：（1）扣件规格应与钢管外径相同；C符合，（2）螺栓拧紧扭力矩不应小于40N·m，且不应大于65N·m；D不符合，错在“距离为300mm，超过了150mm的要求”。（3）在主节点处固定横向水平杆、纵向水平杆、剪刀撑、横向斜撑等用的直角扣件、旋转扣件的中心点的相互距离不应大于150㎜；B不符合，错在“开口朝外，应该朝内”。（4）对接扣件开口应朝上或朝内；A不符合，错在“长度50mm，不满足100mm以上的要求”。（5）各杆件端头伸出扣件盖板边缘的长度不应小于100㎜。故选C。
单选题,"[2019年][河南中安]一、单选题
14
标记
收藏
施工单位选用双轴对称截面的型钢搭设悬挑脚手架，悬挑钢梁固定段的长度为2.50m，悬挑钢梁悬挑段的长度最大为（ ）。",A.2.00m|B.2.25m|C.2.50m|D.2.75m,A,本题主要考查的是悬挑梁固定端和悬挑段的长度要求。属于高频考点。做题思路：固：悬≥1.25。A正确，根据《建筑施工扣件式钢管脚手架安全技术规范》（JGJ130），6.10.5悬挑钢梁悬挑长度应按设计确定，固定段长度不应小于悬挑段长度的1.25倍。现已知固定段长度为2.5m，则悬挑段长度最大为2m。故选A。
单选题,[2019年][河南中安]某城市地铁工程在区间暗挖施工时，需采取有效的安全技术措施。关于结构开挖初期支护安全技术的下列做法中，正确的是（ ）。,A.先开挖后护顶|B.严格控制每循环进尺|C.开挖成型静置稳定后进行初期支护|D.特殊地段加大钢格栅的间距,B,本题主要考查的是暗挖施工的初期支护。做题思路：和盾构法做好区分。A错误，错在“先挖后顶”。坚持先护顶后开挖的原则施工；B正确，采用合理的开挖方式。严格控制每循环进尺；C错误，错在“开挖后未及时初期支护”。开挖成型后及时进行初期支护，尽早施作仰拱封闭成环；D错误，错在“加大间距，应该是减小”。对特殊地段缩小钢格栅的间距。随时注意观察工作面的情况，发现地质情况变化，及时采取相应处理措施。加强监测，及时对数据进行分析，发现异常情况立即上报，并采取相应防治措施。故选B。
单选题,[2019年][河南中安]某工程施工期间，施工单位在施工现场显著位置对危险性较大的分部分项工程进行公告。下列分部分项工程中，属于超过一定规模的危险性较大的分部分项工程的是（ ）。,A.施工高度40m的建筑幕墙安装工程|B.跨度30m的网架和索膜结构安装工程|C.开挖深度18m的人工挖孔桩工程|D.提升高度90m的附着式升降脚手架工程,C,本题主要考查的是超危大工程的判定。属于高频考点。做题思路：和危大工程做好区分。超过一定规模的危险性较大的分部分项工程：A不属于，错在“40m的幕墙”。施工高度50m及以上的建筑幕墙安装工程；B不属于，错在“30m的跨度”。跨度大于36m及以上的钢结构安装工程；跨度大于60m及以上的网架和索膜结构安装工程；C属于，开挖深度超过16m的人工挖孔桩工程；D不属于，错在“90m的附着式升降脚手架”。提升高度在150m及以上的附着式升降脚手架工程或附着式升降操作平台工程。故选C。
单选题,[2019年][河南中安]施工单位在进行地下消防水池防水作业时，相关人员应遵守有限空间作业的安全要求。关于有限空间安全作业的说法，错误的是（ ）。,A.作业负责人发现有限空间作业不符合安全要求时应终止作业|B.监护人员在确认有限空间内的空气符合要求后方可离开作业现场|C.作业人员应正确使用有限空间作业的安全设施与个人防护用品|D.应急救援人员应掌握有限空间事故处置程序，严禁盲目施救,B,本题主要考查的是有限空间作业的要求。属于高频考点。做题思路：有作业方案，有作业票，有教育培训和交底、监护人全程监护、应急预案、先通风，再检测，后作业。A正确，（1）作业负责人应了解整个作业过程中存在的危险危害因素；确认作业环境、作业程序、防护设施、作业人员符合要求后，授权批准作业；及时掌握作业过程中可能发生的条件变化，当有限空间作业条件不符合安全要求时，终止作业；B错误，错在“监护人员离开了现场”。（2）监护人员应接受有限空间作业安全生产培训；全过程掌握作业人员作业期间情况，保证在有限空间外持续监护，能够与作业人员进行有效的操作作业、报警、撤离等信息沟通；在紧急情况时向作业人员发出撤离警告，必要时立即呼叫应急救援服务，并在有限空间外实施紧急救援工作；防止未经授权的人员进入；C正确，（3）作业人员应接受有限空间作业安全生产培训；遵守有限空间作业安全操作规程，正确使用有限空间作业安全设施与个人防护用品；应与监护人员进行有效的操作作业、报警、撤离等信息沟通；D正确，（4）生产经营单位应制定有限空间作业应急救援预案，明确救援人员及职责，落实救援设备器材，掌握事故处置程序，提高对突发事件的应急处置能力。有限空间发生事故时，监护人员应及时报警，救援人员应做好自身防护，配备必要的呼吸器具、救援器材，严禁盲目施救，导致事故扩大。故选B。
单选题,[2019年][河南中安]施工单位在组织施工现场高处坠落事故应急演练活动前，编制了《髙处坠落事故应急演练工作方案》。根据《生产安全事故应急演练指南》（AQ/T9007），不属于应急演练工作方案内容的是（ ）。,A.建筑施工现场高处坠落事故情景设计|B.参加演练单位和人员主要任务及职责|C.应急演练中止条件和程序|D.应急演练技术支撑及保障条件,C,本题主要考查的是应急演练工作方案内容。属于高频考点。C不属于，应急演练工作方案内容主要包括：应急演练目的及要求、应急演练事故情景设计、应急演练参与人员及范围，时间与地点、参演单位和人员主要任务及职责、应急演练筹备工作内容、应急演练主要步骤、应急演练技术支撑及保障条件、应急演练评估与总结。故选C。
单选题,[2019年][河南中安]根据《生产安全事故报告和调查处理条例》（国务院令第493号），丁向属地应急管理部门、住房和城乡建设行政主管部门报告的时间最晚不迟于当日（ ）。,A.14:00|B.14:15|C.15:00|D.15:15 E 16:15,B,本题主要考查的是事故上报的时间，属于高频考点。做题思路：民报官1小时，官报官2小时。B正确，根据《生产安全事故报告和调查处理条例》，第九条：事故发生后，事故现场有关人员应当立即向本单位负责人报告；单位负责人接到报告后，应当于1小时内向事故发生地县级以上人民政府安全生产监督管理部门和负有安全生产监督管理职责的有关部门报告。丁于13:15接到事故报告，故丁向属地应急管理部门、住房和城乡建设行政主管部门报告的时间最晚不迟于当日14:15。故选B。
单选题,[2019年][河南中安]根据《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》（建质[2008]91号），该施工单位应设置安全生产管理机构，配备专职安全生产管理人员至少应为（ ）。,A.3人|B.4人|C.5人|D.6人 E 7人,D,本题主要考查的是施工单位安全员的配备数量。做题思路：和项目配备安全员的要求不同，总包：特6一4二3，承包：一3二2，劳务：2。D正确，根据《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》（建质[2008]91号），第八条：建筑施工企业安全生产管理机构专职安全生产管理人员的配备应满足下列要求，并应根据企业经营规模、设备管理和生产需要予以增加：（一）建筑施工总承包资质序列企业：特级资质不少于6人；一级资质不少于4人；二级和二级以下资质企业不少于3人。（二）建筑施工专业承包资质序列企业：一级资质不少于3人；二级和二级以下资质企业不少于2人。（三）建筑施工劳务分包资质序列企业：不少于2人。（四）建筑施工企业的分公司、区域公司等较大的分支机构（以下简称分支机构）应依据实际生产情况配备不少于2人的专职安全生产管理人员。根据材料该施工单位具有房屋建筑工程施工总承包特级资质，该单位专职安全生产管理人员不少于6人。故选D。
多选题,[2019年][河南中安]工程项目部在组织装配式建筑混凝土预制构件安装施工时，下列现场安全管理的做法中，正确的有（ ）。,A.项目技术负责人向现场管理人员进行方案交底|B.在施工现场显著位置公告危险性较大的分部分项工程名称、施工时间和责任人员|C.工程项目部对预制构件安装作业人员进行登记|D.项目负责人在施工现场带班对危险性较大的分部分项工程进行检查 E 项目专职安全生产管理人员组织模板支撑体系验收,ABC,本题主要考查的是装配式结构现场安全管理的要求。根据《危险性较大的分部分项工程安全管理规定》，B正确，第十四条：施工单位应当在施工现场显著位置公告危大工程名称、施工时间和具体责任人员，并在危险区域设置安全警示标志；A正确，第十五条：专项施工方案实施前，编制人员或者项目技术负责人应当向施工现场管理人员进行方案交底。施工现场管理人员应当向作业人员进行安全技术交底，并由双方和项目专职安全生产管理人员共同签字确认；C正确，第十七条：施工单位应当对危大工程施工作业人员进行登记，项目负责人应当在施工现场履职；E错误，错在“安全生产管理人员组织”。第二十一条：对于按照规定需要验收的危大工程，施工单位、监理单位应当组织相关人员进行验收。验收合格的，经施工单位项目技术负责人及总监理工程师签字确认后，方可进入下一道工序；D说法不严谨，不建议选，依据《建筑施工企业负责人及项目负责人施工现场带班暂行办法》第四条：施工现场带班包括企业负责人带班检查和项目负责人带班生产。企业负责人带班检查是指由建筑施工企业负责人带队实施对工程项目质量安全生产状况及项目负责人带班生产情况的检查。项目负责人带班生产是指项目负责人在施工现场组织协调工程项目的质量安全生产活动。故选ABC。
多选题,[2019年][河南中安]根据《建筑施工安全检査标准》（JGJ59），甲检查时发现落地式扣件钢管脚手架存在的5项安全隐患中，属于落地式扣件钢管脚手架检查评定保证项目的有（ ）。,A.架体未设供人员上下的专用斜道|B.作业面脚手板下方未采用安全平网兜底|C.作业层外侧设置高度150㎜的挡脚板|D.搭设完毕未办理验收手续 E 落地式扣件钢管脚手架未编制专项施工方案,CD,本题主要考查的是落地式扣件钢管脚手架的保证项目。属于超纲内容。CDE属于，根据《建筑施工安全检査标准》（JGJ59），扣件式钢管脚手架检查评定保证项目应包括：施工方案、立杆基础、架体与建筑结构拉结、杆件间距与剪刀撑、脚手板与防护栏杆、交底与验收。一般项目应包括：横向水平杆设置、杆件连接、层间防护、构配件材质、通道。故选CDE。
多选题,[2019年][河南中安]根据《危险性较大分部分项工程安全管理规定》（住房和城乡建设部令第37号），施工现场危险性较大的分部分项工程在施工前需编制专项施工方案。下列危险性较大的分部分项工程专项施工方案管理的做法中，正确的有（ ）。,A.混凝土模板支撑体系专项施工方案论证不通过，施工单位修改后重新组织了专家论证|B.编制悬挑式操作平台专项施工方案，方案有设计计算和针对性的措施|C.施工升降机产权单位组织编制施工升降机安装方案，经工程项目部审核后实施|D.基坑降水工程专项施工方案由施工单位技术负责人审核签字、总监理工程师审查签字，并加盖双方单位公章 E 落地式扣件钢管脚手架专项施工方案中，施工计划包括施工进度计划、材料与设备计划,AB,本题主要考查的是危大工程专项方案的管理。属于高频考点。A正确，根据《危险性较大分部分项工程安全管理规定》，第十三条：专家论证会后，应当形成论证报告，对专项施工方案提出通过、修改后通过或者不通过的一致意见。专家对论证报告负责并签字确认。专项施工方案经论证不通过的，施工单位修改后应当按照本规定的要求重新组织专家论证；CD错误，错在“方案的审核、审批责任主体错误”。第十一条：专项施工方案应当由施工单位技术负责人审核签字、加盖单位公章，并由总监理工程师审查签字、加盖执业印章后方可实施；B正确，根据《建筑施工扣件式钢管脚手架安全技术规范》（JGJ130），悬挑式脚手架施工前应编制专项施工方案，必须有施工图和设计计算书，且符合安全技术条件，审批手续齐全；E正确，专项施工方案编制内容包括：项目概况、编制依据、施工计划、施工工艺技术、施工安全保证措施、施工管理及作业人员配备和分工、验收要求、应急处置措施、计算书及相关图纸。其中施工计划包括施工进度计划、材料与设备计划。故选ABE。
单选题,[2020年][河南中安]某施工总承包单位承建学校建设工程，总建筑面积53125m2，包括教学楼、宿舍楼、体育馆及配套附属设施四项单体工程。在体育馆单体工程施工前，施工总承包单位应首先编制（ ）。,A.临时用电组织设计|B.单位工程施工组织设计|C.专项施工方案|D.安全技术措施,B,本题主要考查的是单位工程的判断。做题思路：施工组织总设计、单位工程、分部分项工程。学校是施工组织总设计、各个楼是单位工程。施工组织设计是施工单位在施工前，根据工程概况、施工工期、场地环境以及机械设备、施工机具和变配电设施等配备计划，拟定工程施工程序、施工流向、施工顺序、施工进度、施工方法、施工人员、技术措施（包括质量、安全）、材料供应，对运输道路、设备设施和水电能源等现场设施的布置和建设作出规划。体育馆单体工程是在群体工程项目中的单位（子单位）工程，在施工前应编制单位工程施工组织设计。故选B。
单选题,[2020年][河南中安]塔式起重机安全管理是建筑施工现场安全管理的重要内容。关于塔式起重机安全管理的说法，正确的是（ ）。,A.塔式起重机可以和其他用电设备共用一台开关箱|B.塔式起重机的使用单位应当对使用中的吊具、索具进行定期检验|C.塔式起重机按照专项施工方案完成顶升、附着后，即可投入使用|D.塔式起重机停止作业时应收起吊钩，将起重臂锁死切断电源,B,本题主要考查的是塔吊的安全管理。属于高频考点。做题思路：塔吊也属于单独的用电设备，但属于特种设备，需要定期检验，需要验收和第三方检测。A错误，错在“共用一台开关型”。施工现场开关箱实行“一机一闸”，一台开关箱只能连接一台设备；C错误，错在“缺少验收就投入使用”。塔式起重机按照专项施工方案完成顶升、附着后，应在验收合格和进行使用登记后，才能投入使用；D错误，错在“锁死起重臂。断电后不得锁大臂”。塔式起重机停止作业时，应松开回转制动器使得回转部分可以自由旋转，起重臂可以随风转动。故选B。
单选题,[2020年][河南中安]施工升降机是施工现场常用的垂直运输设备。在下列使用情形中，有误的是（ ）。,A.定期对施工升降机进行坠落试验|B.每天作业前检查齿轮与齿条啮合是否正常|C.在最高层站的停靠处，使用上限位装置停机|D.每天作业结束后，将两个吊笼停放到底层并切断电源,C,本题主要考查的是施工升降机的安全使用。做题思路：施工升降机属于特种设备，需要定期检验，正常作业时不得利用安全装置停机。A正确，根据《建筑机械使用安全技术规程》（JGJ33-2012），4.9.9施工升降机使用前，应进行坠落试验。施工升降机在使用中每隔3个月，应进行一次额定载重量的坠落试验；B正确，4.9.10作业前应重点检查下列项目，并应符合相应要求：（1）结构不得有变形，连接螺栓不得松动；（2）齿条与齿轮、导向轮与导轨应接合正常；C错误，错在“利用限位装置停机，”。4.9.17施工升降机运行到最上层或最下层时，不得用行程限位开关作为停止运行的控制开关；D正确，4.9.20作业后，应将吊笼降到底层，各控制开关拨到零位，断电源，锁好开关箱，闭锁吊笼门和围护门。故选C。
单选题,[2020年][河南中安]某工程在装修阶段选用了ZLP630型高处作业吊篮，吊篮安装完成后，施工单位按规定组织验收。下列高处作业吊篮安装的做法中，错误的是（ ）。,A.悬挂机构前支架支撑在女儿墙上，安放平稳|B.悬挂机构前支架与支撑面保持垂直，脚轮不受力|C.配重件稳定可靠地安放在配重架上，并有防止随意移动的措施|D.安全钢丝绳、工作钢丝绳分别独立悬挂，无松散、断股、打结,A,本题主要考查的是吊篮的安装安全管理。做题思路：吊篮装置要独立，不得利用女儿墙。前后均需要牢固。各钢丝绳独立，且符合使用要求。A错误，错在“支撑架放在女儿墙上”。根据《建筑施工工具式脚手架安全技术规范》（JGJ202-2010），5.4.7悬挂机构前支架严禁支撑在女儿墙上、女儿墙外或建筑物挑檐边缘；C正确，4.10配重件应稳定可靠地安放在配重架上，并应有防止随意移动的措施。严禁使用破损的配重件或其他替代物。配重件的重量应符合设计规定；B正确，4.13悬挂机构前支架应与支撑面保持垂直，脚轮不得受力；D正确，5.5.1高处作业吊篮应设置作业人员专用的挂设安全带的安全绳及安全锁扣。安全绳应固定在建筑物可靠位置上不得与吊篮上任何部位有连接，并应符合下列规定：（2）安全绳不得有松散、断股、打结现象。故选A。
单选题,[2020年][河南中安]根据《施工现场临时用电安全技术规范》（JGJ46），施工现场配电系统采用三级配电、二级漏电保护的TN-S接零保护系统。漏电保护器应分别装设在（ ）。,A.分配电箱和开关箱|B.总配电箱和开关箱|C.分配电箱和设备控制箱|D.总配电箱和分配电箱,B,本题主要考查的是二级漏电保护的漏保安装位置。属于高频考点。做题思路：总开。B正确，二级漏电保护系统是指在施工现场基本供配电系统的总配电箱和开关箱首末二级配电装置中，设置漏电保护器。故选B。
单选题,"[2020年][河南中安]一、单选题
6
标记
收藏
接地装置由埋入地下的接地体和连接用的接地线构成，接地体可分为自然和人工接地体两类。下列材料中，不能用作人工垂直接地体的是（ ）",A.圆钢|B.角钢|C.螺纹钢|D.钢管,C,本题主要考查的是人工接地体。答题思路：带肋钢筋、螺纹钢筋不得使用。C不能，人工接地体可以用垂直埋置的角钢、圆钢或钢管，以及水平埋置的圆钢、扁钢等。垂直接地体宜采用角钢、钢管或光面圆钢，不得采用螺纹钢。故选C。
单选题,[2020年][河南中安]某工程因变压器容量无法满足施工用电负载要求，施工现场需设置一台柴油发电机组补充供电。关于柴油发电机组设置的说法，正确的是（ ）。,A.发电机组电源中性点应直接接地|B.发电机组供电系统可不装设漏电保护电器|C.发电机组电源应与外电线路电源并列运行|D.配电室内存放贮油桶时，应配备灭火器,A,本题主要考查的是总配电箱的要求。答题思路：虽是外接发电机组，但需要按照总配电箱的要求进行管理。一条线路只能有一个电源在供电，所以发电机和变压器不能同时运行，二者需连锁。BC错误，B错在“不装设漏保，总配电箱需要装漏保”。C错在“并列运行，二者需要连锁，不能并列”。施工现场临时用电工程一般是由外电线路供电的。自备发配电系统也应采用具有专用保护零线的、中性点直接接地的三相四线制供配电系统，并符合以下规定：（1）发电机组电源必须与外电线路电源连锁，严禁并列运行；（2）发电机供电系统应设置电源隔离开关及短路、过载、漏电保护电器。电源隔离开关分断时应有明显可见分断点；（3）发电机组并列运行时，必须装设同期装置，并在机组同步运行后再向负载供电；D错误，错在“配电室存放贮油桶，这是严禁存放的”。根据《施工现场临时用电安全技术规范》（JGJ46-2005），6.2.2发电机组的排烟管道必须伸出室外。发电机组及其控制、配电室内必须配置可用于扑灭电气火灾的灭火器，严禁存放贮油桶。故选A。
