题型,题目,选项,答案,解析
单选题,"[2019年][河南中安]钢质无缝气瓶的钢印标志包括制造钢印标志和检验钢印标志，是识别气瓶的重要依据，根据下图，气瓶公称工作压力、气瓶容积、充装介质的编号分别是（    ）。




图 气瓶钢印示图",A.4，9，7|B.4，8，7|C.3，5，8|D.5，8，7,A,【答案】A 【解析】本题考查气瓶钢印。做题思路：识图。 如图3-9所示，V代表容积是数字9，He是气瓶内的充装介质是数字7，公称工作压力是数字4。故选A。
单选题,[2019年][河南中安]安全阀按其结构和作用原理可分为杠杆式、弹簧式和脉冲式等，按气体排放方式可分为全封闭式、半封闭式和敞开式三种。关于不同类型安全阀适用系统的说法，正确的是（    ）。,A.弹簧式安全阀适用移动式压力容器|B.杠杆式安全阀适用持续运行的系统|C.杠杆式安全阀适用高压系统|D.弹簧式安全阀适用高温系统,A,【答案】A 【解析】本题考查安全阀的类型及适用系统，属于高频考点。做题思路：关注不同类型安全阀的区别。 A正确，弹簧式安全阀对振动的敏感性小，可用于移动式的压力容器；B、C错误，杠杆式安全阀结构简单笨重，限于中、低压系统，适于温度较高的系统，不适于持续运行的系统；D错误，弹簧式安全阀的长期高温会影响弹簧力，不适用于高温系统。故选A。
单选题,[2019年][河南中安]《危险货物运输包装通用技术条件》（GB12463）规定了危险货物包装分类、包装的基本要求、性能试验和检验方法。《危险货物运输包装类别划分方法》（GB/T15098）规定了划分各类危险化学品运输包装类别的基本原则。根据上述两个标准，关于危险货物包装的说法，错误的是（    ）。,A.危险货物具有两种以上的危险性时，其包装类别需按级别高的确定|B.毒性物质根据口服、皮肤接触以及吸入粉尘和烟雾的方式来确定其包装类别|C.易燃液体根据其闭杯闪点和初沸点的大小来确定其包装类别|D.包装类别中Ⅰ类包装适用危险性较小的货物，Ⅲ类包装适用危险性较大的货物,D,【答案】D 【解析】本题考查危险货物包装，属于高频考点。做题思路：Ⅰ类——较大；Ⅱ类——中等；Ⅲ类——较小（Ⅰ、Ⅱ、Ⅲ，大中小）。 D错误，（1）Ⅰ类包装：适用内装危险性较大的货物；（2）Ⅱ类包装：适用内装危险性中等的货物；（3）Ⅲ类包装：适用内装危险性较小的货物。故选D。
单选题,[2019年][河南中安]化学品安全技术说明书是向用户传递化学品基本危害信息（包括运输、操作处置、储存和应急行动信息）的一种载体。下列化学品信息中，不属于化学品安全技术说明书内容的是（    ）。,A.安全信息|B.健康信息|C.常规化学反应信息|D.环境保护信息,C,【答案】C 【解析】本题考查化学品安全技术说明书，属于高频考点。做题思路：标识危险和成分，消防急救泄漏清，操作防护理化性，稳定毒理生态行，废弃运输谁能去，法规其他信息明。 C错误，化学品安全技术说明书包括16大项的安全信息内容，其中“稳定性和反应活性——主要描述化学品的稳定性和在特定条件下可能发生的危险反应。包括应避免的条件（如静电、撞击和震动）；不相容的物质；危险的分解产物（一氧化碳、二氧化碳和水除外）。”不包括常规化学反应信息。AB正确，化学品安全技术说明书包括16大项的安全信息内容中的危险性概述，标明化学品主要的物理和化学危险性信息，对人体健康和环境影响的信息，及该化学品存在的某些特殊危险性信息；D正确，化学品安全技术说明书包括16大项的安全信息内容中的生态学信息，主要提供化学品的环境影响、环境行为和归宿方面的信息。故选C。
单选题,[2019年][河南中安]在人机系统中，人始终处于核心并起主导作用，机器起着安全可靠的保障作用。分析研究人和机器的特性有助于建构和优化人机系统，关于机器特性的说法，正确的是（    ）。,A.处理柔软物体比人强|B.单调重复作业能力强|C.修正计算错误能力强|D.图形识别能力比人强,B,【答案】B 【解析】本题考查的是人与机器特性的比较，属于高频考点。做题思路：常识判断。 A错误，机器对处理液体、气体和粉状体等比人优越，但处理柔性物体不如人；C错误，机器能够正确地进行计算，但难以修正错误；D错误，机器图形识别能力相较人弱。故选B。
单选题,[2019年][河南中安]锅炉水位高于水位表最高安全水位刻度线的现象，称为锅炉满水。严重满水时，锅水可进入蒸汽管道和过热器，造成水击及过热器结垢，降低蒸汽品质，损害以致破坏过热器。下列针对锅炉满水的处理措施中，正确的是（    ）。,A.加强燃烧，开启排污阀及过热器、蒸汽管道上的疏水阀|B.启动“叫水”程序，判断满水的严重程度|C.立即停炉，打开主汽阀加强疏水|D.立即关闭给水阀停止向锅炉上水，启用省煤气再循环管路,D,【答案】D 【解析】本题考查锅炉满水事故，属于高频考点。做题思路：满水事故立即要完成的动作是停止上水。 A错误，一旦确认满水，应立即关闭给水阀停止向锅炉上水，启动省煤器再循环管路，减弱燃烧，开启排污阀及过热器、蒸汽管道上的疏水阀；B错误，“叫水”操作是对锅炉缺水的处理；C错误，锅炉发生满水事故的时候，不必立即停炉，应按照A描述进行处理。故选D。
单选题,[2019年][河南中安]良好的绝缘是保证电气设备和线路正常运行的必要条件，也是防止触及带电体的安全保障。关于绝缘材料性能的说法，正确的是（    ）。,A.绝缘材料的耐热性能用最高工作温度表征|B.绝缘材料的介电常数越大极化过程越慢|C.有机绝缘材料的耐弧性能优于无机材料|D.绝缘材料的绝缘电阻相当于交流电阻,B,【答案】B 【解析】本题考查绝缘材料性能，属于高频考点。做题思路：这几项名称较为陌生，需多熟悉。 A错误，错在“最高工作温度”，绝缘材料的耐热性能用允许工作温度来衡量；B正确，介电常数是表明绝缘极化特征的性能参数，介电常数越大，极化过程越慢；C错误，绝缘材料的耐弧性能指接触电弧时表面抗炭化的能力，无机绝缘材料的耐弧性能优于有机绝缘材料的耐弧性能；D错误，绝缘电阻相当于漏导电流遇到的电阻，是直流电阻，是判断绝缘质量最基本、最简易的指标。故选B。
单选题,[2019年][河南中安]起重作业司索工主要从事地面工作，其工作质量与起重作业安全关系极大。下列对起重工操作安全的要求中，正确的是（    ）。,A.起重工主要承接准备吊具、捆绑挂钩、摘钩卸载等作业，不能承担指挥任务|B.捆绑时，形状或尺寸不同的物品不经特殊捆绑不得混吊|C.目测估算被吊物的质量和重心，按估算质量增大5%选择|D.摘钩卸载时，应采用抖绳摘索，摘钩时应等所有吊索完全松弛再进行,B,【答案】B 【解析】本题考查的是司索工安全操作技术，属于高频考点。做题思路：注意是“不经特殊捆绑”才不得混吊。 A错误，司索工主要从事地面工作，如准备吊具、捆绑挂钩、摘钩卸载等，多数情况还担任指挥任务；B正确，清除吊物表面或空腔内的杂物，将可移动的零件锁紧或捆牢，形状或尺寸不同的物品不经特殊捆绑不得混吊，防止坠落伤人；C错误，对吊物的质量和重心估计要准确，如果是目测估算，应增大20%来选择吊具；D错误，摘钩时应等所有吊索完全松弛再进行，确认所有绳索从钩上卸下再起钩，不允许抖绳摘索，更不许利用起重机抽索。故选B。
单选题,[2019年][河南中安]运营单位应对大型游乐设施进行自行检查，包括每日检查，每月检查和年度检查，下列对大型游乐设施进行检查的项目中，属于每日检查时必查的项目是（    ）。,A.限速装置|B.动力装置|C.绳索、链条|D.控制电路和电器元件,A,【答案】A 【解析】本题考查大型游乐设施每日检查项目，属于高频考点。做题思路：要与月检、年检内容区分。 日检要求检查下列项目：控制装置、限速装置、制动装置和其他安全装置是否有效及可靠；运行是否正常，有无异常的振动或者噪声；易磨损件状况；门联锁开关及安全带等是否完好；润滑点的检查和加添润滑油；重要部件（轨道、车轮等）是否正常。BCD属于月检项目。故选A。
单选题,[2019年][河南中安]木工平刨床的刀轴由刀轴主轴、侧刀片、侧刀体和压刀组成，装入刀片后的总成称为刨刀轴或刀轴，下列关于刀轴安全要求的说法，正确的是（    ）。,A.组装后的侧刀片径向伸出量大于1.1㎜|B.刀轴可以是装配式圆柱形或方形结构|C.组装后的刀轴须进行强度试验和离心试验|D.刀体上的装刀槽应为矩形或方形结构,C,【答案】C 【解析】本题考查木工平刨床刨刀轴安全技术要求，属于高频考点。 A错误，组装后的刨刀片径向伸出量不得大于1.1㎜；B错误，刀轴必须是装配式圆柱形结构，严禁使用方形刀轴；C正确，组装后的刀轴须经强度试验和离心试验，试验后的刀片不得有卷刃、崩刃或显著磨钝现象；D错误，刀体上的装刀梯形槽应上底在外，下底靠近圆心，组装后的刀槽应为封闭型或半封闭型。故选C。
单选题,[2019年][河南中安]起重机械作业过程，由于起升机构取物缠绕系统出现问题而经常发生重物坠落事故，如脱绳、脱钩、断绳和断钩等。关于起重机械起升机构安全要求的说法，错误的是（    ）。,A.为防止钢丝绳脱槽，卷筒装置上应用压板固定|B.钢丝绳在卷筒上的极限安全圈应保证在1圈以上|C.钢丝绳在卷筒上应有下降限位保护|D.每根起升钢丝绳两端都应固定,B,【答案】B 【解析】本题考查起重机械事故及预防，属于高频考点。做题思路：主要注意数字记忆。 B错误，起重机械重物坠落事故主要是发生在起升机构取物缠绕系统中，如脱绳、脱钩、断绳和断钩。每根起升钢丝绳两端的固定也十分重要，如钢丝绳在卷筒上的极限安全圈是否能保证在2圈以上，是否有下降限位保护，钢丝绳在卷筒装置上的压板固定及楔块固定是否安全可靠。另外，钢丝绳脱槽（脱离卷筒绳槽）或脱轮（脱离滑轮），也会造成失落事故。故选B。
单选题,[2019年][河南中安]防止火灾、爆炸事故发生的基本原则主要有：防止燃烧、爆炸系统的形成，消除点火源，限制火灾、爆炸蔓延扩散。下列预防火灾爆炸事故的措施中，属于防止燃烧、爆炸系统形成的措施是（    ）。,A.控制明火和高温表面|B.防爆泄压装置|C.安装阻火装置|D.惰性气体保护,D,【答案】D 【解析】本题考查防止火灾、爆炸事故发生的基本原则，属于高频考点。做题思路：区分三点基本原则对应的内容。 防止火灾、爆炸事故发生的基本原则主要有三点。（1）防止燃烧、爆炸系统的形成：①替代。②密闭。③惰性气体保护。④通风置换。⑤安全监测及联锁。（2）消除点火源：能引发事故的点火源：明火、高温表面、冲击、摩擦、自燃、电气火花、静电火花、化学反应热、光线照射等。具体做法为：控制明火和高温表面；防止摩擦和撞击产生火花；火灾爆炸危险场所采用防爆电气设备避免电气火花。（3）限制火灾、爆炸蔓延扩散的措施：阻火装置、防爆泄压装置及防火防爆分隔等。A属于消除点火源；BC属于限制火灾、爆炸蔓延扩散。故选D。
单选题,[2019年][河南中安]气瓶充装作业安全是气瓶使用安全的重要环节之一。下列气瓶充装安全要求中，错误的是（    ）。,A.气瓶充装单位应当按照规定，取得气瓶充装许可|B.充装高（低）压液化气体，应当对充装量逐瓶复检|C.除特殊情况下，应当充装本单位自有且已办理使用登记的气瓶|D.气瓶充装单位不得对气瓶充装混合气体,D,【答案】D 【解析】本题考查气瓶充装安全要求，属于高频考点。 D错误，气瓶充装混合气体时，（1）充装混合气体的气瓶应当采用加温、抽真空等适当方式进行预处理；（2）气瓶充装前，应当根据混合气体的每一气体组分性质，确定各种气体组分的充装顺序；（3）在充入每一气体组分之前，应用待充气体对充装配置系统管道进行置换。故选D。
单选题,[2019年][河南中安]根据《烟花爆竹安全与质量》（GB10631），烟花爆竹、原材料和半成品的主要安全性能检测项目有摩擦感度、撞击感度、静电感度、爆发点、相容性、吸湿性、水分、pH值等。关于烟花爆竹、原材料和半成品的安全性能的说法，错误的是（    ）。,A.静电感度包括药剂摩擦时产生静电的难易程度和对静电放电火花的敏感度|B.摩擦感度是指在摩擦作用下，药剂发生燃烧或爆炸的难易程度|C.撞击感度是指药剂在冲击和摩擦作用下发生燃烧或爆炸的难易程度|D.烟花爆竹药剂的外相容性是指药剂中组分与组分之间的相容性,D,【答案】D 【解析】烟花爆竹、原材料和半成品的主要安全性能检测，属于高频考点。 A正确，静电感度包括两个方面，一是炸药摩擦时产生静电的难易程度；二是炸药对静电放电火花的感度；B正确，摩擦感度是指在摩擦作用下，火药发生燃烧或爆炸的难易程度；C正确，撞击感度：烟花爆竹药剂在冲击和摩擦 作用下发生爆炸的原因，是由于炸药内部产生了所谓“热点”，也叫灼热核。D错误，内相容性：药剂中组分与组分之间的相容性；外相容性：把药剂作为一个体系，它与相关的接触物质之间的相容性。故选D。
单选题,[2019年][河南中安]预防控制危险化学品事故的主要措施是替代、变更工艺、隔离、通风、个体防护和保持卫生等。关于危险化学品中毒、污染事故预防控制措施的说法，错误的是（    ）。,A.生产中可以通过变更工艺消除或者降低危险化学品的危害|B.隔离是通过封闭、设置屏障等措施，避免作业人员直接暴露于有害环境中|C.个体防护应作为预防中毒、控制污染等危害的主要手段|D.通风是控制作业场所中有害气体、蒸气或者粉尘最有效的措施之一,C,【答案】C 【解析】本题考查危险化学品中毒、污染事故预防控制措施，属于高频考点。做题思路：注意预防控制的对象和目的是对中毒、污染的减轻。 C错误，个体防护用品不能降低作业场所中有害化学品的浓度，它仅仅是一道阻止有害物进入人体的屏障。防护用品本身的失效就意味着保护屏障的消失，因此个体防护不能被视为控制危害的主要手段，而只能作为一种辅助性措施，故选C。
单选题,[2019年][河南中安]爆炸是物质系统的一种极为迅速的物理或化学能量的释放或转化过程，在此过程中，系统的能量将转化为机械功、光和热的辐射等。按照能量来源，爆炸可分为物理爆炸、化学爆炸和核爆炸。下列爆炸现象中，属于物理爆炸的是（    ）。,A.导线因电流过载而引起的爆炸|B.活泼金属与水接触引起的爆炸|C.空气中的可燃粉尘云引起的爆炸|D.液氧和煤粉混合而引起的爆炸,A,【答案】A 【解析】本题考查爆炸分类，属于高频考点。做题思路：物理爆炸没有新物质的产生。 A正确，在有过载电流流动时，使导线过热，金属迅速气化而引起爆炸，其属于物理爆炸；B错误，活泼金属（比如钠）与水接触引起的爆炸会生成新的物质，属于化学爆炸；C错误，空气中的可燃粉尘云引起的爆炸会生成新的物质，属于化学爆炸；D错误，液氧和煤粉混合而引起的爆炸会生成新的物质，属于化学爆炸。故选A。
单选题,[2019年][河南中安]可燃物质在规定条件下，不用任何辅助引燃达到自行燃烧的最低温度称为自燃点。关于可燃物质自燃点的说法，正确的是（    ）。,A.液体可燃物质受热分解越快，自身散热越快，其自燃点越高|B.固体可燃物粉碎得越细，其自燃点越高|C.固体可燃物受热分解的可燃气体挥发物越多，其自燃点越低|D.一般情况下，密度越小，闪点越高，其自燃点越低,C,【答案】C 【解析】本题考查自燃和自燃点，属于高频考点。做题思路：关注AC选项，说的情况正好相反，一般情况下有一个是错的。 A错误，液体和固体可燃物受热分解并析出来的可燃气体挥发物越多，其自燃点越低；B错误，固体可燃物粉碎得越细，其自燃点越低；D错误，一般情况下，密度越大，闪点越高而自燃点越低。故选C。
单选题,[2019年][河南中安]抱索器是客运索道的重要安全部件，一旦出现问题，必定会造成人身伤害。因此，应在规定的周期内对抱索器进行无损检测。依据《客运索道监督检验和定期检验规则》（TSG7001），抱索器的无损检测应当采用（    ）。,A.磁粉检测法|B.超声检测法|C.射线检测法|D.渗透检测法,A,【答案】A 【解析】本题考查抱索器的无损检测。 根据《客运索道监督检验和定期检验规则》（TSG S7001-2013），13.5抱索器、夹索器无损检测，全部抱索器或者夹索器应当在使用3000h或者2年后进行首次无损检测，无损检测的零件清单应当满足使用维护说明书的要求。此后每3年全部无损检测一次。当使用期达到10年时，固定抱索器应当每年、脱挂抱索器和夹索器应当每2年全部无损检测一次。使用达到15年时应当予以更换。无损检测应当采用磁粉检测法，并符合JB/T 4730中的Ⅱ级要求。无损检测人员应当具有特种设备无损检测的相关资格。故选A。
单选题,[2019年][河南中安]危险化学品的燃烧爆炸事故通常伴随发热、发光、高压、真空和电离等现象，具有很强的破坏效应，该效应与危险化学品的数量和性质、燃烧爆炸时的条件以及位置等因素均有关系。关于危险化学品破坏效应的说法，正确的是（    ）。,A.爆炸的破坏作用主要包括高温的破坏作用和爆炸冲击波的破坏作用|B.在爆炸中心附近，空气冲击波波阵面上的超压可达到几个甚至十几个大气压|C.当冲击波大面积作用于建筑物时，所有建筑物将全部被破坏|D.机械设备、装置、容器等爆炸后产生许多碎片，碎片破坏范围一般在0.5～1.0km,B,【答案】B 【解析】本题考查爆炸的破坏作用，属于高频考点。做题思路：注意不是所有的爆炸都伴随着高温。 A错误，爆炸的破坏作用主要包括爆炸碎片的破坏作用和爆炸冲击波的破坏作用；C错误，当冲击波大面积作用于建筑物时，波阵面超压在20～30kPa内，就足以使大部分砖木结构建筑物受到严重破坏，超压在100kPa以上时，除坚固的钢筋混凝土建筑外，其余部分将全部破坏【并非所有的建筑物都被损坏】；D错误，机械设备、装置、容器等爆炸后产生许多碎片，飞出后会在相当大的范围内造成危害，一般碎片飞散范围在100～500m。故选B。
单选题,[2019年][河南中安]锅炉定期检验是指在锅炉设计使用期限内，每间隔一定时间对锅炉承压的安全装置进行检验，可分为内部检验，外部检验和水（耐）压试验，下列关于进行现场水压试验的过程和结果中，不符合《锅炉定期检验规则》（TSGG7002）的是（    ）。,A.升压至工作压力，升压速率为0.1MP/min|B.环境温度10℃，未采取防冻措施|C.受压部件为奥氏体材料，水中氯离子浓度为25mg/L|D.试验压力下，保压时间10min，压降为0,D,【答案】D 【解析】本题考查锅炉水压试验，属于高频考点。 根据《锅炉定期检验规则》（TSGG7002—2015）4.5实验步骤；试验的过程至少包括以下步骤：A符合，（1）缓慢升压至工作压力，升压速率不超过每分钟0.5MPa；（2）暂停升压，检查是否有泄漏或者异常现象；（3）继续升压至试验压力，升压速率不超过每分钟0.2MPa，并且注意防止超压；D不符合，（4）在试验压力下保持20分钟；（5）缓慢降压至工作压力，降压速率不超过每分钟0.5MPa；（6）在工作压力下，检查所有参加水（耐）压试验的受压部件表面、焊缝、胀口等处是否有渗漏、变形；检查管道、阀门、仪表等连接部位是否有渗漏；（7）缓慢泄压；（8）检查所有参加试验的受压部件是否有明显残余变形；B符合，对试验环境进行确认，周围的环境温度不应当低于5℃，否则应当采取有效的防冻措施；C符合，试验介质应当以适宜、方便为原则，所用介质能够防止对锅炉材料有腐蚀；对奥氏体材料的受压部位，水中的氯离子浓度不得超过25mg/L，如不能满足要求时，试验后应当立即将水渍去除干净；有机热载体锅炉试验介质一般采用有机热载体；故选D。
单选题,[2019年][河南中安]毒性危险化学品通过一定途径进入人体，在体内积蓄到一定剂量后就会表现出中毒症状，毒性危险化学品通常进入人体的途径为（    ）。,A.呼吸道、皮肤、消化道|B.呼吸道、口腔、消化道|C.皮肤、口腔、消化道|D.口腔、鼻腔、呼吸道,A,【答案】A 【解析】本题考查毒性危险化学品侵入人体的途径，属于高频考点。做题思路：熟记进入人体的三种通道。 毒性危险化学品可经呼吸道、消化道和皮肤进入人体。在工业生产中，毒性危险化学品主要经呼吸道和皮肤进入体内，有时也可经消化道进入。故选A。
单选题,[2019年][河南中安]起重机械吊运的准备工作和安全检查是保证起重机械安全作业的关键，下列起重机械吊运作业安全要求中，错误的是（    ）。,A.流动式起重机械应将支撑地面夯实垫平，支撑应牢固可靠|B.开机作业前，应确认所有控制器都置于零位|C.大型构件吊运前需编制作业方案，必要时报请有关部门审查批准|D.不允许用两台起重机吊运同一重物,D,【答案】D 【解析】本题考查起重机使用安全技术，属于高频考点。做题思路：可以两台或多台起重机吊运同一重物。 AB正确，开机作业前，应确认处于安全状态方可开机，所有控制器是否置于零位，起重机上和作业区内是否有无关人员，作业人员是否撤离到安全区，起重机运行范围内是否有未清除的障碍物，起重机与其他设备或固定建筑物的最小距离是否在0.5m以上，电源断路装置是否加锁或有警示标牌，流动式起重机是否按要求平整好场地，支脚是否牢固可靠；C正确，对于大型、重要的物件的吊运或多台起重机共同作业的吊装，事先要在有关人员参与下，由指挥、起重机司机和司索工共同讨论，编制作业方案，必要时报请有关部门审查批准；D错误，用两台或多台起重机吊运同一重物时，每台起重机都不得超载，吊运过程应保持钢丝绳垂直，保持运行同步。吊运时，有关负责人员和安全技术人员应在场指导。露天作业的轨道起重机，当风力大于6级时，应停止作业；当工作结束时，应锚定住起重机。故选D。
