题型,题目,选项,答案,解析
单选题,[2019年][河南中安]根据《安全生产法》，关于安全生产监督检查人员履行安全监管职责的说法，正确的是（    ）。,A.监督检查人员忘记携带执法证件，可以口头告知被检查单位来意|B.涉及被检查单位技术秘密和业务秘密的，监督检查人员不得进行检查|C.监督检查人员将检查出来的问题及其处理情况，可以书面或者口头形式告知被检查单位的负责人|D.被检查单位的负责人拒绝签字的，监督检查人员应当将情况记录在案，并向负有安全监管职责的部门报告,D,本题主要考查的是安全生产监督检查人员安全监管职责，属于高频考点。做题思路：先理解掌握检察人员的职责，后进行细节记忆。A错误，错在“口头告知”；B错误，错在“不得进行检查”。根据《安全生产法》，第六十七条：安全生产监督检查人员应当忠于职守，坚持原则，秉公执法。安全生产监督检查人员执行监督检查任务时，必须出示有效的行政执法证件；对涉及被检查单位的技术秘密和业务秘密，应当为其保密；C错误，错在“口头形式告知”。第六十八条：安全生产监督检查人员应当将检查的时间、地点、内容、发现的问题及其处理情况，作出书面记录，并由检查人员和被检查单位的负责人签字；被检查单位的负责人拒绝签字的，检查人员应当将情况记录在案，并向负有安全生产监督管理职责的部门报告。故选D。
单选题,[2019年][河南中安]根据《安全生产法》，关于生产安全事故应急救援工作的说法，正确的是（    ）。,A.乡镇人民政府组织制定的生产安全事故应急救援预案必须报上级政府安全监管部门批准|B.任何单位和个人都应当支持、配合事故抢救，并提供一切便利条件|C.负有安全监管职责的部门的负责人接到事故报告后，应当立即采取警戒、疏散措施|D.应急救援工作结束后，地方人民政府必须立即对应急救援工作进行评估,B,本题主要考查的是地方各级人民政府应急工作职责，属于高频考点。做题思路：先理解掌握地方各级人民政府应急工作职责，后进行区分记忆。A错误，错在“乡镇人民政府”。根据《安全生产法》，第八十条：县级以上地方各级人民政府应当组织有关部门制定本行政区域内生产安全事故应急救援预案，建立应急救援体系。乡镇人民政府和街道办事处，以及开发区、工业园区、港区、风景区等应当制定相应的生产安全事故应急救援预案，协助人民政府有关部门或者按照授权依法履行生产安全事故应急救援工作职责；B正确；C错误，错在“没写有关地方人民政府”。第八十五条：有关地方人民政府和负有安全生产监督管理职责的部门的负责人接到生产安全事故报告后，应当按照生产安全事故应急救援预案的要求立即赶到事故现场，组织事故抢救。参与事故抢救的部门和单位应当服从统一指挥，加强协同联动，采取有效的应急救援措施，并根据事故救援的需要采取警戒、疏散等措施，防止事故扩大和次生灾害的发生，减少人员伤亡和财产损失；任何单位和个人都应当支持、配合事故抢救，并提供一切便利条件；D错误，错在“地方人民政府”。根据《生产安全事故应急条例》，第二十七条：按照国家有关规定成立的生产安全事故调查组应当对应急救援工作进行评估，并在事故调查报告中作出评估结论。调查组评估，且不需要立即。故选B。
单选题,[2019年][河南中安]某客运公司经营城际客运业务，共有职工65人、中型客车20辆。根据《安全生产法》，关于安全生产管理机构设置和安全生产管理人员配备的说法，正确的是（    ）。,A.该公司应当设置安全生产管理机构或者配备兼职安全生产管理人员|B.该公司应当设置安全生产管理机构或者配备注册安全工程师|C.该公司应当设置安全生产管理机构或者配备专职安全生产管理人员|D.该公司不需设置安全生产管理机构，但应当配备兼职安全生产管理人员,C,本题主要考查的是安全生产管理机构设置和安全生产管理人员配备，属于高频考点。做题思路：先理解掌握需安全生产管理机构设置和专职管理人员的配备要求，后进行区分记忆。根据《安全生产法》，第二十四条：矿山、金属冶炼、建筑施工、运输单位和危险物品的生产、经营、储存、装卸单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。前款规定以外的其他生产经营单位，从业人员超过一百人的，应当设置安全生产管理机构或者配备专职安全生产管理人员；从业人员在一百人以下的，应当配备专职或者兼职的安全生产管理人员。故选C。
单选题,[2019年][河南中安]某化肥生产企业存在重大事故隐患，安全监管部门对该企业作出停产决定，但该企业仍然继续生产，随时有发生生产安全事故的现实危险，安全监管部门决定对该企业采取停止供电措施。根据《安全生产法》，除有危及生产安全的紧急情形外，应当提前（    ）小时通知对该企业采取停止供电措施。,A.8|B.24|C.12|D.36,B,本题主要考查的是强制措施应提前通知，属于高频考点。根据《安全生产法》，第七十条：负有安全生产监督管理职责的部门依法对存在重大事故隐患的生产经营单位作出停产停业、停止施工、停止使用相关设施或者设备的决定，生产经营单位应当依法执行，及时消除事故隐患。生产经营单位拒不执行，有发生生产安全事故的现实危险的，在保证安全的前提下，经本部门主要负责人批准，负有安全生产监督管理职责的部门可以采取通知有关单位停止供电、停止供应民用爆炸物品等措施，强制生产经营单位履行决定。通知应当采用书面形式，有关单位应当予以配合。负有安全生产监督管理职责的部门依照前款规定采取停止供电措施，除有危及生产安全的紧急情形外，应当提前二十四小时通知生产经营单位。生产经营单位依法履行行政决定、采取相应措施消除事故隐患的，负有安全生产监督管理职责的部门应当及时解除前款规定的措施。故选B。
单选题,[2019年][河南中安]根据《矿山安全法》，关于矿山企业开采安全保障的说法，正确的是（    ）。,A.矿山设计规定保留的矿柱、岩柱，经论证在保证安全的前提下可以开采|B.矿山闭坑后，对可能引起的危害，矿山企业应当采取预防措施|C.矿山企业必要时可以对井下空气含氧量进行检测，保证符合作业要求|D.矿山企业使用的有特殊安全要求的设备、器材、安全检测仪器，可以由非专业厂家生产,B,本题主要考查的是矿山开采安全保障。B正确，A错误，错在“可以开采”。根据《矿山安全法》，第十四条：矿山设计规定保留的矿柱、岩柱，在规定的期限内，应当予以保护，不得开采或者毁坏。第十九条：矿山企业对使用机械、电气设备，排土场矸石山、尾矿库和矿山闭坑后可能引起的危害，应当采取预防措施；C错误，错在“必要时可以进行检测”。第十七条：矿山企业必须对作业场所中的有毒有害物质和井下空气含氧量进行检测，保证符合安全要求；D错误，错在“可以由非专业厂家生产”。第十五条：矿山使用的有特殊安全要求的设备、器材、防护用品和安全检测仪器，必须符合国家安全标准或者行业安全标准；不符合国家安全标准或者行业安全标准的，不得使用。故选B。
单选题,"[2019年][河南中安]一、单选题
1
标记
收藏

根据法的不同效力层级，下列安全生产法律法规和规章中，属于最低层级的安全生产立法是（    ）。",A.国务院通过的《安全生产许可证条例》|B.某直辖市人大常委会通过的《××市安全生产条例》|C.某省人民政府通过的《××省煤矿安全生产监督管理规定》|D.全国人大常委会通过的《特种设备安全法》|A.该公司应当保障安全生产条件所必需的资金投入，用于提高生产效率|B.该公司必须建立健全安全生产责任制和安全生产规章制度，改善安全生产条件，推进安全生产标准化建设|C.该公司股东大会对企业安全生产工作全面负责，应当定期听取安全生产工作汇报|D.该公司在制定或者修改有关安全生产的规章制度时，可以听取本公司工会的意见|A.刘某|B.赵某|C.张某|D.黄某|A.该企业应当根据经营情况提取和使用安全生产费用|B.该企业可使用安全生产费用提高安全生产管理人员待遇|C.该企业应当在成本中据实列支安全生产费用|D.该企业在发生亏损时可以停止提取安全生产费用|A.中央企业总部的应急预案，报所在地省级或设区的市级应急管理部门备案|B.油气输送管线运营企业的应急预案，报所跨行政区域的县级应急管理部门备案|C.煤矿企业的应急管理，报所在地的煤矿安全监察机关备案|D.省属金属冶炼企业的应急预案，报省级应急管理部门备案|A.甲市安全监管部门负责人接到报告后，立即安排乙县安全监管部门负责人代其赶赴事故现场组织抢险救援|B.乙县安全监管部门从县医院接到又有1人因伤势过重死亡的报告后，因听说甲市安全监管部门已知该消息，故未向甲市安全监管部门补报|C.乙县安全监管部门按照有关规定，在县政府的统一安排下，组织开展事故调查处理工作|D.乙县安全监管部门在接到报告后2小时内上报甲市安全监管部门，并在1小时内电话快报省安全监管部门|A.甲建筑公司应当安排专门人员进行现场安全管理|B.该市安全监管部门应当安排专门人员进行现场安全管理|C.该市建设主管部门应当安排专门人员负责现场安全管理|D.项目设计单位应当安排专门人员负责现场安全管理|A.项目安全设施设计应当经甲煤矿企业审查批准后即可施工|B.乙矿山设计院、丁公司应当对该项目安全设施设计共同负责|C.丙公司应当对该矿井改扩建项目安全设施的施工质量负责|D.项目竣工后应当由安全监管部门负责组织对安全设施进行验收|A.某化工企业因厂房紧张，在外租用一处独栋三层楼房存放电石半成品，一楼用作仓库；二楼用作仓库管理人员宿舍，三楼用作员工活动室|B.某肉类加工企业生产车间设有四个安全出口，为方便职工考勤管理，只保留一个出口作为职工上下班使用，其他三个出口长期锁闭|C.某KTV酒吧重新进行装修，改变了内部格局，同时设置了若干疏散标志和两个紧急安全出口|D.某煤矿企业根据矿井设计要求建设了一处地面炸药库，该炸药库远离该矿职工自盖简易生活用房，但紧邻煤矿地面主要生产经营场所|A.单位负责人接到事故报告后，除因病重、出国或无法及时赶到现场等原因外，必须迅速采取一切有效措施，组织事故抢救|B.除尚未查清伤亡人数、财产损失等原因外，必须立即将事故报告当地安全监管部门|C.除尚未核实事故起因和伤亡人数等原因外，不得迟报事故|D.在任何情况下均不得故意破坏事故现场和毁灭有关证据|A.监督检查人员忘记携带执法证件，可以口头告知被检查单位来意|B.涉及被检查单位技术秘密和业务秘密的，监督检查人员不得进行检查|C.监督检查人员将检查出来的问题及其处理情况，可以书面或者口头形式告知被检查单位的负责人|D.被检查单位的负责人拒绝签字的，监督检查人员应当将情况记录在案，并向负有安全监管职责的部门报告|A.乡镇人民政府组织制定的生产安全事故应急救援预案必须报上级政府安全监管部门批准|B.任何单位和个人都应当支持、配合事故抢救，并提供一切便利条件|C.负有安全监管职责的部门的负责人接到事故报告后，应当立即采取警戒、疏散措施|D.应急救援工作结束后，地方人民政府必须立即对应急救援工作进行评估|A.该公司应当设置安全生产管理机构或者配备兼职安全生产管理人员|B.该公司应当设置安全生产管理机构或者配备注册安全工程师|C.该公司应当设置安全生产管理机构或者配备专职安全生产管理人员|D.该公司不需设置安全生产管理机构，但应当配备兼职安全生产管理人员|A.8|B.24|C.12|D.36|A.矿山设计规定保留的矿柱、岩柱，经论证在保证安全的前提下可以开采|B.矿山闭坑后，对可能引起的危害，矿山企业应当采取预防措施|C.矿山企业必要时可以对井下空气含氧量进行检测，保证符合作业要求|D.矿山企业使用的有特殊安全要求的设备、器材、安全检测仪器，可以由非专业厂家生产|A.核材料运输车辆|B.军用起重设施|C.航天特种设备|D.大型游乐设施|A.离岗前职业健康检查|B.身体健康综合评估检查|C.上岗前职业健康检查|D.在岗期间职业健康检查|A.工伤保险基金在留有一定比例的储备金后可用于投资经营|B.工伤保险费可以由职工个人缴纳|C.工伤保险费的数额为用人单位职工工资总额乘以单位缴费费率|D.工伤保险费率根据以收定支原则确定|A.45日|B.30日|C.15日|D.7日|A.应当及时开展安全生产事故隐患治理工作|B.必须委托安全评价机构进行安全评估|C.应当适时对治理情况进行安全评估|D.安全评估合格后，再提交恢复生产的申请|A.煤矿企业的主要负责人和安全生产管理人员、特种作业人员的培训大纲由省级安全监管部门组织制定|B.对从业人员的安全培训，具备安全培训条件的生产经营单位应当以自主培训为主，也可以委托具备安全培训条件的机构进行安全培训|C.生产经营单位的从业人员的安全培训，由所在地县级安全监管部门负责|D.生产经营单位委托其他机构进行安全培训的，安全培训责任由被委托的机构承担|A.生活自理障碍分为两个等级：生活完全不能自理、生活部分不能自理|B.对孙某劳动能力鉴定的专家组，应当从专家库中随机抽取7名专家组成|C.劳动功能障碍分为十个伤残等级，最重的为一级，最轻的为十级|D.自劳动能力鉴定结论作出之日起半年后，孙某认为伤残情况发生变化，可以申请劳动能力复查|A.一级重大危险源记录电子数据的保存时间，应当不少于20天|B.涉及剧毒气体的重大危险源，应当至少配备一套气密型化学防护服|C.重大危险源专项应急预案的演练，应当每两年至少进行一次|D.重大危险源中储存剧毒物质的场所或者设施应当设置视频监控系统|A.国家标准无备案阶段，行业标准有备案阶段|B.国家标准有备案阶段，行业标准无备案阶段|C.国家标准有复审要求，行业标准无复审要求|D.国家标准无复审要求，行业标准有复审要求,D,本题主要考查的是特种设备法。做题思路：先理解掌握特种设备的种类，后进行区分记忆。根据《特种设备安全法》，第二条：特种设备的生产（包括设计、制造、安装、改造、修理）、经营、使用、检验、检测和特种设备安全的监督管理，适用本法。本法所称特种设备，是指对人身和财产安全有较大危险性的锅炉、压力容器（含气瓶）、压力管道、电梯、起重机械、客运索道、大型游乐设施、场（厂）内专用机动车辆，以及法律、行政法规规定适用本法的其他特种设备。国家对特种设备实行目录管理。特种设备目录由国务院负责特种设备安全监督管理的部门制定，报国务院批准后执行。第一百条：军事装备、核设施、航空航天器使用的特种设备安全的监督管理不适用本法。故选D。
单选题,[2019年][河南中安]张某在单位从事接触职业病危害作业的劳动，根据《劳动合同法》，该单位未对张某进行（    ），不得解除与张某订立的劳动合同。,A.离岗前职业健康检查|B.身体健康综合评估检查|C.上岗前职业健康检查|D.在岗期间职业健康检查,A,本题主要考查的是劳动合同，属于高频考点。做题思路：先理解掌握从业人员的权利和义务，后进行区分记忆。根据《劳动合同法》，第四十二条：劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：（一）从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的。故选A。
单选题,[2019年][河南中安]根据《工伤保险条例》，关于工伤保险费缴纳的说法，正确的是（    ）。,A.工伤保险基金在留有一定比例的储备金后可用于投资经营|B.工伤保险费可以由职工个人缴纳|C.工伤保险费的数额为用人单位职工工资总额乘以单位缴费费率|D.工伤保险费率根据以收定支原则确定,C,本题主要考查的是缴纳工伤保险费和享受保险待遇。做题思路：此知识点的核心是生产经营单位应为从业人员缴纳工伤保险和工伤保险费率原则。A错误，错在“可用于投资经营”。根据《工伤保险条例》，第十二条：任何单位或者个人不得将工伤保险基金用于投资运营、兴建或者改建办公场所、发放奖金，或者挪作其他用途；B错误，错在“可以由职工个人缴纳”。第十条：用人单位应当按时缴纳工伤保险费。职工个人不缴纳工伤保险费；D错误，错在“以收定支原则”。第八条：工伤保险费根据以支定收、收支平衡的原则，确定费率。故选C。
单选题,[2019年][河南中安]某金属冶炼厂发生一起火灾事故，当场造成2人死亡、1人重伤、3人轻伤，事故发生3天后，重伤者因救治无效死亡。根据《生产安全事故报告和调查处理条例》，该厂应自事故发生之日起（    ）内补报该事故伤亡情况。,A.45日|B.30日|C.15日|D.7日,D,本题主要考查的是事故补报，属于高频考点。做题思路：先理解掌握事故等级，后进行区分记忆。根据《生产安全事故报告和调查处理条例》，第十三条：事故报告后出现新情况的，应当及时补报。自事故发生之日起30日内，事故造成的伤亡人数发生变化的，应当及时补报。道路交通事故、火灾事故自发生之日起7日内，事故造成的伤亡人数发生变化的，应当及时补报。故选D。
单选题,[2019年][河南中安]某市安全监管部门在安全检查中发现一公司存在重大事故隐患，责令其停产停业。根据《安全生产事故隐患排查治理暂行规定》，关于公司开展隐患治理的说法，错误的是（    ）。,A.应当及时开展安全生产事故隐患治理工作|B.必须委托安全评价机构进行安全评估|C.应当适时对治理情况进行安全评估|D.安全评估合格后，再提交恢复生产的申请,B,本题主要考查的是隐患治理，属于高频考点。做题思路：注意本题是选择“错误的”。B错误，错在“必须”。根据《安全生产事故隐患排查治理暂行规定》，第十八条：地方人民政府或者安全监管监察部门及有关部门挂牌督办并责令全部或者局部停产停业治理的重大事故隐患，治理工作结束后，有条件的生产经营单位应当组织本单位的技术人员和专家对重大事故隐患的治理情况进行评估；其他生产经营单位应当委托具备相应资质的安全评价机构对重大事故隐患的治理情况进行评估。故选B。
单选题,[2019年][河南中安]根据《安全生产培训管理办法》，关于生产经营单位安全生产培训的说法，正确的是（    ）。,A.煤矿企业的主要负责人和安全生产管理人员、特种作业人员的培训大纲由省级安全监管部门组织制定|B.对从业人员的安全培训，具备安全培训条件的生产经营单位应当以自主培训为主，也可以委托具备安全培训条件的机构进行安全培训|C.生产经营单位的从业人员的安全培训，由所在地县级安全监管部门负责|D.生产经营单位委托其他机构进行安全培训的，安全培训责任由被委托的机构承担,B,本题主要考查的是安全生产教育培训，属于高频考点。做题思路：先理解掌握安全生产教育培训的主体与原则，后进行区分记忆。A错误，错在“省级安全监管部门组织制定”。根据《安全生产培训管理办法》，第六条：煤矿企业的主要负责人和安全生产管理人员、特种作业人员的培训大纲由国家煤矿安监局组织制定；C错误，错在“由所在地县级安全监管部门负责”。第八条：生产经营单位的从业人员的安全培训，由生产经营单位负责；D错误，错在“安全培训责任由被委托的机构承担”。第九条：生产经营单位委托其他机构进行安全培训的，保证安全培训的责任仍由本单位负责。故选B。
单选题,[2019年][河南中安]某企业职工孙某发生事故，认定为工伤，经治疗伤情相对稳定后留下残疾，影响劳动能力。根据《工伤保险条例》，关于劳动能力鉴定的说法，正确的是（    ）。,A.生活自理障碍分为两个等级：生活完全不能自理、生活部分不能自理|B.对孙某劳动能力鉴定的专家组，应当从专家库中随机抽取7名专家组成|C.劳动功能障碍分为十个伤残等级，最重的为一级，最轻的为十级|D.自劳动能力鉴定结论作出之日起半年后，孙某认为伤残情况发生变化，可以申请劳动能力复查,C,本题主要考查的是劳动能力鉴定，属于高频考点。做题思路：先理解掌握伤残等级和劳动能力鉴定的内容，后进行区分记忆。A错误，错在“两个等级”。根据《工伤保险条例》，第二十二条：生活自理障碍分为三个等级：生活完全不能自理、生活大部分不能自理和生活部分不能自理；B错误，错在“7名”。第二十五条：设区的市级劳动能力鉴定委员会收到劳动能力鉴定申请后，应当从其建立的医疗卫生专家库中随机抽取3名或者5名相关专家组成专家组，由专家组提出鉴定意见；D错误，错在“半年后”。第二十八条：自劳动能力鉴定结论作出之日起1年后，工伤职工或者其近亲属、所在单位或者经办机构认为伤残情况发生变化的，可以申请劳动能力复查鉴定。故选C。
